company_number,company_name
08649413,INSPIREDSPACES WOLVERHAMPTON (PROJECTCO2) LIMITED
08686441,INSPIREDSPACES WOLVERHAMPTON (HOLDINGS2) LIMITED
00531085,PME TECHNICAL SERVICES LIMITED
00566465,DUDLEY BOWER GROUP PLC
06844166,INSPIREDSPACES DURHAM LIMITED
06844186,INSPIREDSPACES DURHAM (PSP1) LIMITED
00077628,CARILLION JM LIMITED
OC402031,MGH CARD LLP
09799665,MGH PARTNER COMPANY LIMITED
OC402027,THE ARLINGTON RICHARDSON DEVELOPMENT PARTNERSHIP LLP
OC412000,ASK PATRIZIA (GQ) LLP
08084031,ASK REAL ESTATE LIMITED
09693421,ARE HAMILTON LIMITED
00594581,CARILLION CONSTRUCTION LIMITED
05543634,NEW WORLD BARNSLEY LIMITED
01685693,CARILLION AM DEVELOPMENTS LIMITED
07017401,INSPIREDSPACES ROCHDALE (PSP2) LIMITED
08113991,AMBER LEP INVESTMENTS LIMITED
01123611,WALTER LAWRENCE DEVELOPMENTS LIMITED
01808326,AM NOMINEES LIMITED
02519780,TBV POWER LIMITED
08121731,INSPIREDSPACES NOTTINGHAM (PSP3) LIMITED
02997859,CARILLION PRIVATE FINANCE LIMITED
02630590,CARILLION REGENERATION LIMITED
03782379,CARILLION PLC
08987222,ASK REAL ESTATE (EMBANKMENT) LIMITED
05052745,WARD STREET DEVELOPMENTS LIMITED
03485972,WYSEPROPERTY
07966837,MURPHY OHL LIMITED
03783019,CARILLION HOLDINGS LIMITED
SC102827,CARILLION ENERGY SERVICES SCOTLAND LIMITED
03858865,CARILLION ENERGY SERVICES LIMITED
OC437891,PATTERN SHOP LLP
07211684,PFP-IGLOO (GENERAL PARTNER) LIMITED
OC432564,FOUNDERS PLACE LLP
05428762,AMEY DEFENCE SERVICES LIMITED
01367044,CARILLION (AM) LIMITED
05428732,AMEY DEFENCE SERVICES (HOUSING) LIMITED
14652635,DUNDASHILL 4A LIMITED
14419831,PFP-IGLOO DEVELOPMENTS LIMITED
05477550,NEW WORLD CREWE LIMITED
00247624,CARILLION CAPITAL PROJECTS LIMITED
03392601,MOWLEM ENVIRONMENTAL SCIENCES GROUP LIMITED
08113900,INSPIREDSPACES ROCHDALE (HOLDINGS2) LIMITED
08114163,INSPIREDSPACES ROCHDALE (PSP3) LIMITED
08705990,CRR PARTNERSHIP LIMITED
03787277,CARILLION NOMINEES LIMITED
02646690,SCHAL INTERNATIONAL MANAGEMENT LIMITED
SC489636,ABERDEEN ROADS LIMITED
SC489526,ABERDEEN ROADS HOLDINGS LIMITED
05753751,CARILLION PRIVATE FINANCE (TRANSPORT) LIMITED
02294384,CARILLION SWINDON LIMITED
07154960,INSPIREDSPACES WOLVERHAMPTON LIMITED
07155049,INSPIREDSPACES WOLVERHAMPTON (PSP1) LIMITED
15626975,PFP-IGLOO FRUITMARKET LIMITED
00398443,CARILLION MENA LIMITED
02404092,BUILDING ENVIRONMENTAL HYGIENE LIMITED
00737307,PLANNED MAINTENANCE ENGINEERING LIMITED
01141203,EASTBOURNE HARBOUR COMPANY LIMITED
02217605,SOVEREIGN HARBOUR LIMITED
00369692,HALL & TAWSE NORTHERN LIMITED
00883233,CARILLION CONSTRUCTION (WEST INDIES) LIMITED
00349002,CARILLION INSURANCE ADVISERS LIMITED
08649446,INSPIREDSPACES WOLVERHAMPTON (PSP3) LIMITED
15601094,VIADUX BLOCK 2 MANAGEMENT COMPANY LIMITED
10027959,SALBOY CENTRAL LIMITED
03523664,FORMSOLE LIMITED
03783015,CEDAR 2019 LIMITED
06137874,BROOKLANDS COURT (KETTERING) MANAGEMENT LIMITED
05769391,LODGE PARK COMMERCIAL DEVELOPMENTS LIMITED
00404120,J.F. MILLER PROPERTIES LIMITED
00303453,CARILLION REGIONAL CONSTRUCTION LIMITED
SC489591,ABERDEEN ROADS (FINANCE) PLC
12752167,STEENBERG’S YARD MANAGEMENT COMPANY LIMITED
00159414,CARILLION HI-TECH LIMITED
06436101,INSPIREDSPACES STAG LIMITED
06436121,INSPIREDSPACES STAG (PSP1) LIMITED
OC394705,SIGLION DEVELOPMENTS LLP
01469541,CEDAR (MAPLE OAK) LTD
08751752,THE HOSPITAL COMPANY (LIVERPOOL) HOLDINGS LIMITED
08684413,CARILLION PRIVATE FINANCE (HEALTH) 2013 LIMITED
09822833,THE HOSPITAL COMPANY (SANDWELL) HOLDINGS LIMITED
09822736,CARILLION PRIVATE FINANCE (HEALTH) 2015 LIMITED
