controlled_company_number,controller_company_number,controller_name,notified_on,ceased_on,ceased,nature_of_control,legal_form,legal_authority,country_registered,place_registered,psc_kind,source_url,etag,depth_from_root
08649413,08686441,Inspiredspaces Wolverhampton (Holdings2) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Company Limited By Shares,Companies Act 2006,United Kingdom,England,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08649413/persons-with-significant-control/corporate-entity/pC1kS7AQOaitKp6cyJYag4yXZak,565385aa03e630b55f168affd90d19f50f33b17f,5
08649413,08686441,Inspiredspaces Wolverhampton (Holdings2) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Company Limited By Shares,Companies Act 2006,United Kingdom,England,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08649413/persons-with-significant-control/corporate-entity/pC1kS7AQOaitKp6cyJYag4yXZak,565385aa03e630b55f168affd90d19f50f33b17f,5
08649413,08686441,Inspiredspaces Wolverhampton (Holdings2) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Company Limited By Shares,Companies Act 2006,United Kingdom,England,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08649413/persons-with-significant-control/corporate-entity/pC1kS7AQOaitKp6cyJYag4yXZak,565385aa03e630b55f168affd90d19f50f33b17f,5
00531085,00566465,Dudley Bower Group Plc,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00531085/persons-with-significant-control/corporate-entity/jox1SzE8IKT0thkYshgJNQSjZPk,8eebe8b00beda5a401c0365b6fe138198838796d,3
00531085,00566465,Dudley Bower Group Plc,2016-04-06,,false,right-to-appoint-and-remove-directors,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00531085/persons-with-significant-control/corporate-entity/jox1SzE8IKT0thkYshgJNQSjZPk,8eebe8b00beda5a401c0365b6fe138198838796d,3
00531085,00566465,Dudley Bower Group Plc,2016-04-06,,false,voting-rights-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00531085/persons-with-significant-control/corporate-entity/jox1SzE8IKT0thkYshgJNQSjZPk,8eebe8b00beda5a401c0365b6fe138198838796d,3
06844166,06844186,Inspiredspaces Durham (Psp1) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06844166/persons-with-significant-control/corporate-entity/_Donqr0mM-E81eB8ufKb2ibX-Ec,7c5743c135b3baf744e7c8f78377b3dcec8a819f,4
06844166,06844186,Inspiredspaces Durham (Psp1) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06844166/persons-with-significant-control/corporate-entity/_Donqr0mM-E81eB8ufKb2ibX-Ec,7c5743c135b3baf744e7c8f78377b3dcec8a819f,4
06844166,06844186,Inspiredspaces Durham (Psp1) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06844166/persons-with-significant-control/corporate-entity/_Donqr0mM-E81eB8ufKb2ibX-Ec,7c5743c135b3baf744e7c8f78377b3dcec8a819f,4
00566465,00077628,Carillion Jm Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00566465/persons-with-significant-control/corporate-entity/ANbyeL5tDWOlKOt4T2BOLIzOFH4,7b222115096d937eaaecf70c415e96496ddb5e9c,2
00566465,00077628,Carillion Jm Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00566465/persons-with-significant-control/corporate-entity/ANbyeL5tDWOlKOt4T2BOLIzOFH4,7b222115096d937eaaecf70c415e96496ddb5e9c,2
00566465,00077628,Carillion Jm Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00566465/persons-with-significant-control/corporate-entity/ANbyeL5tDWOlKOt4T2BOLIzOFH4,7b222115096d937eaaecf70c415e96496ddb5e9c,2
OC402031,09799665,Mgh Partner Company Limited,2016-04-06,,false,significant-influence-or-control-limited-liability-partnership,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC402031/persons-with-significant-control/corporate-entity/fKOidcZh6fspOiZqqQGnWrLEIXE,62258c737c37bb6377db08a4942636a5deac3983,4
OC402031,OC402027,The Arlington Richardson Development Partnership Llp,2016-04-06,,false,significant-influence-or-control-limited-liability-partnership,Limited Liability Partnership,Limited Liability Partnerships Act 2000,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC402031/persons-with-significant-control/corporate-entity/3B5rCnhjNZMnFq-100Vy2ao6QsQ,24e0265bacffc27bc7d2ed3106db60b1aca132eb,4
OC412000,08084031,Ask Real Estate Limited,2016-05-25,,false,voting-rights-25-to-50-percent-limited-liability-partnership,Limited Company,Companies Act,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC412000/persons-with-significant-control/corporate-entity/f-ecH0-9qMSqOgNLj3EBChClpCg,fe1991a9f4698fa9759c56542478800f870a5978,3
09693421,00594581,Carillion Construction Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09693421/persons-with-significant-control/corporate-entity/JNEEPFsACvTuyTZyrliaHcHxJ7E,d5803aa1e66e3d5792d117fb2001d3e709df1276,2
09693421,00594581,Carillion Construction Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09693421/persons-with-significant-control/corporate-entity/JNEEPFsACvTuyTZyrliaHcHxJ7E,d5803aa1e66e3d5792d117fb2001d3e709df1276,2
09693421,00594581,Carillion Construction Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09693421/persons-with-significant-control/corporate-entity/JNEEPFsACvTuyTZyrliaHcHxJ7E,d5803aa1e66e3d5792d117fb2001d3e709df1276,2
